	Stu_00ea0b50a27238a1a209396453fb1c4d	Stu_01476ce43b36f563415487142e1c046c	Stu_0253cdb749f39471861340d0346915f1	Stu_02e531baf3492ba41607c21175598a09	Stu_038d615d7f4ebc8b27efd2c8d226d034	Stu_0391448da5eac00f9b6dd455081aa08e	Stu_04dd6ee86838195f6ceaf45c5bec197e	Stu_04ea566d35db87559bff32360ac139ac	Stu_0657f86f4ff3fe084bfff62f488150c4	Stu_07162763f5295ac2ac205a59c82f218e	Stu_0750480f9d470c37e313dc36329047f7	Stu_08068adc1a7ce33ac09ccb426ab6f293	Stu_0832d131f43ba6e40d91ab220cc1bb79	Stu_09266f06981ef59c54b75202604eebbf	Stu_09f76d2083c142e10771e26934a20c26	Stu_0b5df9ca7199154ee2f1d10fb15b3c50	Stu_0b8e52119f6b5f2b2dd5c1ad16a750f8
16-0-Variability	-12.7257699446308	-16.0683510558279	-13.0131828480108	-12.9237125572967	-12.9619964496456	12.5586193019793	-12.6127842842936	-13.2284081672706	-13.5588005090453	12.5144650136139	12.7418095350561	12.3722279594108	-13.7420278899958	12.6267171867486	-11.9599018313623	-11.8688566083451	-13.0906612311738
16-1-different|far|variable	-12.6928865108318	-13.4339545220367	12.0660348076753	-12.519411013655	-12.3508647333993	12.7508888144313	-12.4108886118101	-12.5260666261297	-13.2656040378618	12.5393007078762	12.9205899634756	12.5796060412822	11.9805400644259	13.7426096789264	13.0230447058399	12.8826811402684	12.0867688533859
16-2-observations	-12.8530519303409	-16.1934117076667	-12.4117723728563	-12.7040831861685	-13.3815605217115	12.3445639077957	-12.7530435866196	11.8663498666869	-12.5944645440027	-12.1912367751831	-11.7885988519823	12.8753103546098	-12.7441584361941	12.419016830365	12.693451748184	12.5946195206085	-13.5384695440817
16-3-mean	11.8000929534818	-12.6959853880323	-13.1677659676182	11.9885858089014	-12.9964332412624	12.6984527175654	-13.231186901521	-12.8191605570233	-12.598283691981	-11.9973131262934	13.0277407788121	12.8615695194381	-12.573454256261	12.8419844844869	13.2205159228983	12.5432488416308	-13.1708921489797
17-0-involves|uses|includes|observes	-12.2359564700761	-12.0960204671972	12.2423498748694	-12.737615777174	-12.3504854626214	13.1348862953356	12.1400181564737	12.5543311266254	11.6884227455311	12.4137607584567	12.1393800178827	12.261901076584	-12.6710080832669	-11.8432266587607	12.3654773228539	-11.9092296350883	-12.9344968786253
17-1-subject|participant|participants	-13.0313129627859	-12.8718721972094	-12.3675370897349	-12.4134030431636	-12.1417416358381	12.8735699253813	12.0205017172553	-12.748133079946	-14.5018249525166	12.596422250013	13.292950918634	12.6966915754554	11.8830776017996	13.0437642921845	12.8083212536668	12.7979672920897	12.0425665237326
17-2-sample	-11.797745108348	11.4659036049226	-11.9458576267392	12.4942386566073	12.6071858117555	12.5770427459448	12.8618294027606	12.0855969628797	12.414821840929	12.6147458745225	12.333137495517	-12.3218086166451	-12.3690294219331	11.8648153080777	-12.4722896371109	12.5386546910785	-11.994962039601
17-3-participated	12.2182677853688	-13.7069008272203	-11.9537891451726	-12.5664201118484	-12.3737055371992	12.9092489271659	-12.4960161820853	12.1135930195066	11.6257016891686	12.4015836040429	12.8792363767428	12.5119277805	-13.7840539804986	12.8383300975614	12.5442129190422	12.9261302859324	-13.3488321052383
2-0-statistic	-12.5783542208397	-16.3997480269964	11.9864559749695	-12.9496809807549	-13.0444177570012	12.567929713643	-12.4832342717891	11.8424500968829	-12.3659786463601	12.5160749068202	12.5015841688058	12.616105309195	-12.7809274445887	12.83846772052	12.7506281179951	-11.7048332713647	-12.9695619540825
2-1-describes|is|represents	-13.0833870572144	-14.1926224151848	-12.9572944966395	-12.674349081076	-12.7125397779795	13.3123557627197	11.7717183724945	-12.6559608233069	-14.0524217825672	12.8887934019757	13.6181110024567	13.1030658918861	-13.0510384998252	12.8426501666579	12.7784594752856	12.8007498321988	-12.8213595957739
